,HURR_STAT_TRANSFO_2016,HURR_STAT_TRANSFO_2012,SHIP,TRUTH,HWRF,OFCL,FSSE,GFSO,DSHP,Consensus_wo_HURR,Consensus_HURR_STAT_TRANSFO,HURR_STAT_GRU_2016,HURR_STAT_GRU_2012,Consensus_HURR_STAT_GRU,HURR_STAT_COMP_2016,HURR_STAT_COMP_2012,Consensus_HURR_STAT_COMP,HURR_STAT_2016,HURR_STAT_2012,Consensus_HURR_STAT,HURR_GRU_ONLY_2016,HURR_GRU_ONLY_2012,Consensus_HURR_GRU_ONLY,HURR_TRANSFO_ONLY_2016,HURR_TRANSFO_ONLY_2012,Consensus_HURR_TRANSFO_ONLY,HURR_STAT_TRANSFO_COMP_2016,HURR_STAT_TRANSFO_COMP_2012,Consensus_HURR_STAT_TRANSFO_COMP,CONSENSUS_HURR_4_XGB_ElasticNet_MAE,CONSENSUS_HURR_4_XGB_MLP_MSE
422,67.85822,66.842545,61.0,75.0,78.0,70.0,73.0,69.0,61.0,70.666664,69.964554,76.83362,75.60953,72.208405,73.5252,69.09374,71.3813,72.0695,68.65705,71.01738,80.99802,77.83943,73.249504,57.40278,60.56202,67.35069,67.28426,68.938644,69.82107,74.443436,73.14700310383127
423,75.78091,72.130905,63.0,80.0,67.0,70.0,74.0,54.0,63.0,68.0,69.94523,78.44101,77.08949,70.61025,76.64019,77.94625,70.16005,75.44469,75.25811,69.861176,82.225266,81.018906,71.55632,67.258896,65.48325,67.81473,74.70327,72.98305,69.67582,78.620026,77.38027698775326
424,75.80435,75.93596,63.0,80.0,64.0,70.0,69.0,45.0,63.0,65.333336,67.95109,80.24154,79.263535,69.06039,78.75853,80.939316,68.68964,76.41185,77.4673,68.10297,88.081924,88.24228,71.02048,69.40601,64.90807,66.3515,79.81567,79.29598,68.95392,79.98808,78.7471439234122
425,79.122185,80.00548,51.0,70.0,49.0,65.0,61.0,45.0,51.0,53.666668,60.03055,79.10537,79.22217,60.026344,80.19453,81.89659,60.29863,80.984245,80.96135,60.496063,86.11945,84.40741,61.77986,65.28335,66.14581,56.57084,73.20202,78.18808,58.550507,79.918304,77.8082946800568
426,82.60628,85.71594,65.0,55.0,54.0,65.0,66.0,55.0,65.0,61.666668,66.901566,85.841385,89.46179,67.71034,83.01018,81.25719,67.00255,84.81751,81.682785,67.45438,89.92128,90.056564,68.730316,67.40797,69.32568,63.10199,81.3886,87.39621,66.59715,85.48753,83.60740924587938
427,85.89063,90.09933,67.0,50.0,64.0,65.0,66.0,55.0,67.0,65.666664,70.72266,84.385254,88.57207,70.34631,87.41792,89.27495,71.10448,89.035706,86.03912,71.50893,88.12604,88.74214,71.28151,67.38959,71.92244,66.0974,80.68037,81.50343,69.42009,85.79312,84.01184548886206
428,76.1795,74.07933,72.0,50.0,68.0,70.0,70.0,63.0,72.0,70.0,71.544876,79.18444,77.159225,72.29611,83.706055,81.71741,73.42651,80.652016,78.80387,72.663,77.90015,81.241,71.97504,67.103004,68.77538,69.27575,81.1825,73.74968,72.79562,79.44748,77.28743298291597
429,46.28729,46.34946,57.0,50.0,47.0,60.0,57.0,58.0,57.0,53.666668,51.821823,44.419884,44.228745,51.354973,48.246616,44.881233,52.311653,42.57502,42.68624,50.893753,47.15726,46.37283,52.039314,48.859066,48.129696,52.464767,45.971424,44.894474,51.742855,45.870293,46.58959243977059
430,33.837654,33.74594,38.0,50.0,42.0,45.0,40.0,52.0,38.0,40.0,38.45941,34.063828,33.790977,38.515957,32.056107,33.127396,38.014027,33.00586,33.402122,38.251465,36.212425,35.54763,39.05311,38.382607,40.197186,39.59565,36.63876,33.63947,39.15969,33.04319,32.752980917484464
431,33.418724,32.87548,29.0,50.0,42.0,45.0,37.0,49.0,29.0,36.0,35.354683,35.081593,35.712006,35.770397,37.052994,34.99153,36.26325,34.191437,33.07758,35.54786,34.147186,33.785698,35.536797,39.819332,39.97181,36.954834,32.58461,32.08039,35.146152,34.179,35.30240261251251
